"","beeID","time_between_visits","neonic_treatment","time_between_floral_refill","Apis","Bombus","Osmia","Megachile"
"1","53-28-66-01-0B-00-12-E0",615,"0",0,0,7,0,0
"2","53-28-66-01-0B-00-12-E0",316,"0",0,0,7,0,0
"3","53-28-66-01-0B-00-12-E0",126,"0",0,0,7,0,0
"4","53-28-66-01-0B-00-12-E0",141,"0",0,0,7,0,0
"5","53-28-66-01-0B-00-12-E0",7,"0",0,0,7,0,0
"6","53-28-66-01-0B-00-12-E0",13,"0",0,0,7,0,0
"7","53-28-66-01-0B-00-12-E0",34,"0",0,0,7,0,0
"8","53-28-66-01-0B-00-12-E0",8,"0",0,0,7,0,0
"9","53-28-66-01-0B-00-12-E0",27,"0",0,0,7,0,0
"10","53-28-66-01-0B-00-12-E0",4,"0",0,0,7,0,0
"11","53-28-66-01-0B-00-12-E0",39,"0",0,0,7,0,0
"12","53-28-66-01-0B-00-12-E0",84,"0",0,0,7,0,0
"13","53-28-66-01-0B-00-12-E0",7,"0",0,0,7,0,0
"14","53-28-66-01-0B-00-12-E0",7,"0",0,0,7,0,0
"15","53-28-66-01-0B-00-12-E0",25,"0",0,0,7,0,0
"16","53-28-66-01-0B-00-12-E0",212,"0",0,0,7,0,0
"17","53-28-66-01-0B-00-12-E0",25,"0",0,0,7,0,0
"18","53-28-66-01-0B-00-12-E0",30,"0",0,0,7,0,0
"19","53-28-66-01-0B-00-12-E0",63,"0",0,0,7,0,0
"20","53-28-66-01-0B-00-12-E0",173,"0",0,0,7,0,0
"21","53-28-66-01-0B-00-12-E0",237,"0",0,0,7,0,0
"22","53-28-66-01-0B-00-12-E0",141,"0",0,0,7,0,0
"23","53-28-66-01-0B-00-12-E0",19,"0",0,0,7,0,0
"24","53-28-66-01-0B-00-12-E0",51,"0",0,0,7,0,0
"25","53-28-66-01-0B-00-12-E0",16,"0",0,0,7,0,0
"26","53-28-66-01-0B-00-12-E0",110,"0",0,0,7,0,0
"27","53-28-66-01-0B-00-12-E0",56,"0",0,0,7,0,0
"28","53-28-66-01-0B-00-12-E0",84,"0",0,0,7,0,0
"29","53-28-66-01-0B-00-12-E0",11,"0",0,0,7,0,0
"30","53-28-66-01-0B-00-12-E0",238,"0",0,0,7,0,0
"31","53-28-66-01-0B-00-12-E0",45,"0",0,0,7,0,0
"32","53-28-66-01-0B-00-12-E0",20,"0",0,0,7,0,0
"33","53-28-66-01-0B-00-12-E0",21,"0",0,0,7,0,0
"34","54-28-66-01-0B-00-12-E0",66,"0",0,0,7,0,0
"35","54-28-66-01-0B-00-12-E0",124,"0",0,0,7,0,0
"36","54-28-66-01-0B-00-12-E0",273,"0",0,0,7,0,0
"37","54-28-66-01-0B-00-12-E0",761,"0",0,0,7,0,0
"38","54-28-66-01-0B-00-12-E0",22,"0",0,0,7,0,0
"39","54-28-66-01-0B-00-12-E0",47,"0",0,0,7,0,0
"40","54-28-66-01-0B-00-12-E0",696,"0",0,0,7,0,0
"41","54-28-66-01-0B-00-12-E0",41,"0",0,0,7,0,0
"42","54-28-66-01-0B-00-12-E0",47,"0",0,0,7,0,0
"43","54-28-66-01-0B-00-12-E0",43,"0",0,0,7,0,0
"44","54-28-66-01-0B-00-12-E0",76,"0",0,0,7,0,0
"45","54-28-66-01-0B-00-12-E0",18,"0",0,0,7,0,0
"46","54-28-66-01-0B-00-12-E0",140,"0",0,0,7,0,0
"47","54-28-66-01-0B-00-12-E0",47,"0",0,0,7,0,0
"48","54-28-66-01-0B-00-12-E0",22,"0",0,0,7,0,0
"49","54-28-66-01-0B-00-12-E0",69,"0",0,0,7,0,0
"50","54-28-66-01-0B-00-12-E0",18,"0",0,0,7,0,0
"51","54-28-66-01-0B-00-12-E0",27,"0",0,0,7,0,0
"52","54-28-66-01-0B-00-12-E0",124,"0",0,0,7,0,0
"53","54-28-66-01-0B-00-12-E0",8,"0",0,0,7,0,0
"54","54-28-66-01-0B-00-12-E0",67,"0",0,0,7,0,0
"55","54-28-66-01-0B-00-12-E0",17,"0",0,0,7,0,0
"56","54-28-66-01-0B-00-12-E0",45,"0",0,0,7,0,0
"57","54-28-66-01-0B-00-12-E0",12,"0",0,0,7,0,0
"58","54-28-66-01-0B-00-12-E0",18,"0",0,0,7,0,0
"59","54-28-66-01-0B-00-12-E0",8,"0",0,0,7,0,0
"60","54-28-66-01-0B-00-12-E0",24,"0",0,0,7,0,0
"61","54-28-66-01-0B-00-12-E0",88,"0",0,0,7,0,0
"62","54-28-66-01-0B-00-12-E0",78,"0",0,0,7,0,0
"63","54-28-66-01-0B-00-12-E0",74,"0",0,0,7,0,0
"64","54-28-66-01-0B-00-12-E0",167,"0",0,0,7,0,0
"65","55-28-66-01-0B-00-12-E0",224,"0",0,0,7,0,0
"66","55-28-66-01-0B-00-12-E0",25,"0",0,0,7,0,0
"67","55-28-66-01-0B-00-12-E0",9,"0",0,0,7,0,0
"68","55-28-66-01-0B-00-12-E0",28,"0",0,0,7,0,0
"69","55-28-66-01-0B-00-12-E0",20,"0",0,0,7,0,0
"70","55-28-66-01-0B-00-12-E0",14,"0",0,0,7,0,0
"71","55-28-66-01-0B-00-12-E0",9,"0",0,0,7,0,0
"72","55-28-66-01-0B-00-12-E0",70,"0",0,0,7,0,0
"73","55-28-66-01-0B-00-12-E0",179,"0",0,0,7,0,0
"74","55-28-66-01-0B-00-12-E0",828,"0",0,0,7,0,0
"75","56-28-66-01-0B-00-12-E0",114,"0",0,0,7,0,0
"76","56-28-66-01-0B-00-12-E0",14,"0",0,0,7,0,0
"77","56-28-66-01-0B-00-12-E0",18,"0",0,0,7,0,0
"78","56-28-66-01-0B-00-12-E0",39,"0",0,0,7,0,0
"79","56-28-66-01-0B-00-12-E0",135,"0",0,0,7,0,0
"80","56-28-66-01-0B-00-12-E0",12,"0",0,0,7,0,0
"81","56-28-66-01-0B-00-12-E0",26,"0",0,0,7,0,0
"82","56-28-66-01-0B-00-12-E0",32,"0",0,0,7,0,0
